Epoch;Accuracy;Learning rate
1;0.14285714285714285;0.01
2;0.14285714285714285;0.01
3;0.15714285714285714;0.01
4;0.15714285714285714;0.01
5;0.14285714285714285;0.01
6;0.15714285714285714;0.01
7;0.15714285714285714;0.01
8;0.17142857142857143;0.01
9;0.2;0.01
10;0.22857142857142856;0.01
11;0.32857142857142857;0.01
12;0.2571428571428571;0.01
13;0.4142857142857143;0.01
14;0.44285714285714284;0.01
15;0.5285714285714286;0.01
16;0.5571428571428572;0.01
17;0.6714285714285714;0.01
18;0.6142857142857143;0.01
19;0.6428571428571429;0.01
20;0.6714285714285714;0.01
21;0.8142857142857143;0.01
22;0.8;0.01
23;0.6571428571428571;0.01
24;0.9142857142857143;0.01
25;0.7142857142857143;0.01
26;0.6142857142857143;0.01
27;0.7428571428571429;0.01
28;0.8714285714285714;0.01
29;0.8571428571428571;0.01
30;0.8142857142857143;0.01
